"trade_date","open_hfq","high_hfq","low_hfq","close_hfq","volume","turnover","adjust_type","source","download_time"
"2025-02-12","101.64","102.7745","100.8269","101.9588","100410000","1004100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-13","101.68","102.8975","100.8666","102.0808","100420000","1004200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-14","101.72","103.0093","100.9062","102.1917","100430000","1004300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-17","101.84","103.2599","101.0253","102.4404","100460000","1004600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-18","101.88","103.3111","101.065","102.4911","100470000","1004700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-19","101.92","103.3452","101.1046","102.525","100480000","1004800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-20","101.96","103.3624","101.1443","102.5421","100490000","1004900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-21","102","103.3634","101.184","102.543","100500000","1005000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-24","102.12","103.2813","101.303","102.4616","100530000","1005300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-25","102.16","103.2319","101.3427","102.4126","100540000","1005400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-26","102.2","103.1754","101.3824","102.3565","100550000","1005500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-27","102.24","103.1144","101.4221","102.296","100560000","1005600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-02-28","102.28","103.0982","101.416","102.2339","100570000","1005700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-03","102.4","103.2192","101.2492","102.0658","100600000","1006000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-04","102.44","103.2595","101.2085","102.0247","100610000","1006100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-05","102.48","103.2998","101.1791","101.9951","100620000","1006200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-06","102.52","103.3402","101.1631","101.9789","100630000","1006300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-07","102.56","103.3805","101.1618","101.9776","100640000","1006400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-10","102.68","103.5014","101.2563","102.0729","100670000","1006700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-11","102.72","103.5418","101.3214","102.1385","100680000","1006800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-12","102.76","103.5821","101.4025","102.2202","100690000","1006900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-13","102.8","103.6224","101.4984","102.317","100700000","1007000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-14","102.84","103.6627","101.6077","102.4271","100710000","1007100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-17","102.96","103.7837","101.9948","102.8173","100740000","1007400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-18","103","103.824","102.1353","102.959","100750000","1007500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-19","103.04","103.9267","102.2157","103.1019","100760000","1007600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-20","103.08","104.0691","102.2554","103.2432","100770000","1007700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-21","103.12","104.207","102.295","103.38","100780000","1007800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-24","103.24","104.5678","102.4141","103.7379","100810000","1008100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-25","103.28","104.663","102.4538","103.8323","100820000","1008200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-26","103.32","104.7428","102.4934","103.9115","100830000","1008300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-27","103.36","104.8061","102.5331","103.9743","100840000","1008400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-28","103.4","104.8523","102.5728","104.0201","100850000","1008500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-03-31","103.52","104.8885","102.6918","104.0561","100880000","1008800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-01","103.56","104.8691","102.7315","104.0368","100890000","1008900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-02","103.6","104.8363","102.7712","104.0042","100900000","1009000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-03","103.64","104.7921","102.8109","103.9604","100910000","1009100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-04","103.68","104.7389","102.8506","103.9076","100920000","1009200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-07","103.8","104.6304","102.8923","103.7221","100950000","1009500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-08","103.84","104.6707","102.8313","103.6606","100960000","1009600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-09","103.88","104.711","102.7752","103.604","100970000","1009700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-10","103.92","104.7514","102.7266","103.555","100980000","1009800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-11","103.96","104.7917","102.6879","103.516","100990000","1009900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-14","104.08","104.9126","102.6518","103.4796","101020000","1010200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-15","104.12","104.953","102.6712","103.4992","101030000","1010300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-16","104.16","104.9933","102.7077","103.536","101040000","1010400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-17","104.2","105.0336","102.7613","103.59","101050000","1010500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-18","104.24","105.0739","102.8317","103.661","101060000","1010600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-21","104.36","105.1949","103.1332","103.9649","101090000","1010900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-22","104.4","105.2352","103.2581","104.0908","101100000","1011000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-23","104.44","105.2755","103.3916","104.2254","101110000","1011100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-24","104.48","105.3158","103.5311","104.366","101120000","1011200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-25","104.52","105.3562","103.6737","104.5098","101130000","1011300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-28","104.64","105.7715","103.8029","104.932","101160000","1011600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-29","104.68","105.9008","103.8426","105.0603","101170000","1011700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-04-30","104.72","106.0196","103.8822","105.1782","101180000","1011800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-01","104.76","106.1256","103.9219","105.2833","101190000","1011900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-02","104.8","106.2171","103.9616","105.3741","101200000","1012000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-05","104.92","106.3919","104.0806","105.5475","101230000","1012300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-06","104.96","106.4153","104.1203","105.5708","101240000","1012400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-07","105","106.4217","104.16","105.577","101250000","1012500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-08","105.04","106.4118","104.1997","105.5673","101260000","1012600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-09","105.08","106.3872","104.2394","105.5429","101270000","1012700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-12","105.2","106.2444","104.3584","105.4012","101300000","1013000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-13","105.24","106.182","104.3981","105.3392","101310000","1013100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-14","105.28","106.1222","104.4322","105.2744","101320000","1013200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-15","105.32","106.1626","104.368","105.2097","101330000","1013300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-16","105.36","106.2029","104.3067","105.1479","101340000","1013400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-19","105.48","106.3238","104.1677","105.0078","101370000","1013700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-20","105.52","106.3642","104.1444","104.9842","101380000","1013800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-21","105.56","106.4045","104.1357","104.9755","101390000","1013900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-22","105.6","106.4448","104.143","104.9829","101400000","1014000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-23","105.64","106.4851","104.1673","105.0074","101410000","1014100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-26","105.76","106.6061","104.3439","105.1854","101440000","1014400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-27","105.8","106.6464","104.4356","105.2778","101450000","1014500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-28","105.84","106.6867","104.5416","105.3847","101460000","1014600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-29","105.88","106.727","104.6603","105.5043","101470000","1014700000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-05-30","105.92","106.7674","104.7893","105.6344","101480000","1014800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-02","106.04","106.9101","105.1917","106.0616","101510000","1015100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-03","106.08","107.0565","105.2314","106.2068","101520000","1015200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-04","106.12","107.1994","105.271","106.3486","101530000","1015300000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-05","106.16","107.336","105.3107","106.4842","101540000","1015400000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-06","106.2","107.4637","105.3504","106.6108","101550000","1015500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-09","106.32","107.77","105.4694","106.9147","101580000","1015800000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-10","106.36","107.8409","105.5091","106.985","101590000","1015900000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-11","106.4","107.8943","105.5488","107.038","101600000","1016000000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-12","106.44","107.9299","105.5885","107.0733","101610000","1016100000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-13","106.48","107.9477","105.6282","107.091","101620000","1016200000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-16","106.6","107.9036","105.7472","107.0472","101650000","1016500000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-17","106.64","107.8614","105.7869","107.0053","101660000","1016600000","Backward","SYNTHETIC_TEST_ONLY",""
"2025-06-18","106.68","107.8088","105.8266","106.9532","101670000","1016700000","Backward","SYNTHETIC_TEST_ONLY",""
